Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Sisačko-moslavačka;Sisak-Moslavina;Sunja;5.748;2.846;2.902;710;5.038;710;1.137;613;3.287;1;710;2.772;2.045;221;-;4.124;2.100;2.024;464;3.660
Sisačko-moslavačka;Sisak-Moslavina;Topusko;2.985;1.427;1.558;395;2.590;395;808;177;1.602;3;395;1.130;1.220;231;9;2.222;1.072;1.150;228;1.994
Sisačko-moslavačka;Sisak-Moslavina;Velika Ludina;2.625;1.299;1.326;473;2.152;473;838;207;1.107;-;473;1.023;1.001;128;-;2.283;1.160;1.123;360;1.923
Karlovačka;Karlovac;Barilović;2.990;1.519;1.471;373;2.617;373;921;236;1.460;-;373;1.350;1.088;178;1;2.673;1.341;1.332;391;2.282
Karlovačka;Karlovac;Bosiljevo;1.284;653;631;142;1.142;142;419;89;634;-;142;601;463;78;-;1.040;547;493;123;917
Karlovačka;Karlovac;Cetingrad;2.027;1.060;967;303;1.724;303;479;206;1.039;-;303;1.081;575;68;-;1.491;775;716;177;1.314
Karlovačka;Karlovac;Draganić;2.741;1.285;1.456;369;2.372;369;826;188;1.303;55;369;1.006;1.107;203;56;2.541;1.232;1.309;386;2.155
Karlovačka;Karlovac;Duga Resa;11.180;5.405;5.775;1.418;9.762;1.418;4.144;859;4.757;2;1.418;3.003;5.496;1.261;2;10.212;4.912;5.300;1.369;8.843
Karlovačka;Karlovac;Generalski Stol;2.642;1.362;1.280;279;2.363;279;860;181;1.322;-;279;1.211;1.041;111;-;2.171;1.127;1.044;216;1.955
Karlovačka;Karlovac;Josipdol;3.773;1.895;1.878;592;3.181;592;1.091;246;1.844;-;592;1.321;1.618;242;-;3.419;1.716;1.703;540;2.879
Karlovačka;Karlovac;Kamanje;891;445;446;99;792;99;349;70;373;-;99;296;426;69;1;827;421;406;112;715
Karlovačka;Karlovac;Karlovac;55.705;26.162;29.543;7.512;48.193;7.512;20.041;3.860;24.260;32;7.512;13.003;25.969;8.947;274;49.377;23.170;26.207;6.241;43.136
Karlovačka;Karlovac;Krnjak;1.985;973;1.012;217;1.768;217;414;190;1.164;-;217;961;707;100;-;1.332;669;663;133;1.199
Karlovačka;Karlovac;Lasinja;1.624;783;841;234;1.390;234;491;69;826;4;234;746;555;89;-;1.322;638;684;166;1.156
Karlovačka;Karlovac;Netretić;2.862;1.394;1.468;331;2.531;331;916;200;1.415;-;331;1.336;1.073;122;-;2.439;1.222;1.217;289;2.150
Karlovačka;Karlovac;Ogulin;13.915;6.835;7.080;2.007;11.908;2.007;4.745;990;6.173;-;2.007;3.736;6.690;1.481;1;12.246;6.000;6.246;1.684;10.562
Karlovačka;Karlovac;Ozalj;6.817;3.344;3.473;868;5.949;868;2.390;452;3.106;1;868;2.722;2.762;464;1;5.837;2.859;2.978;769;5.068
Karlovačka;Karlovac;Plaški;2.090;1.017;1.073;261;1.829;261;338;266;1.225;-;261;868;842;119;-;1.650;824;826;244;1.406
Karlovačka;Karlovac;Rakovica;2.387;1.214;1.173;439;1.948;439;640;222;1.086;-;439;905;950;93;-;2.230;1.135;1.095;281;1.949
Karlovačka;Karlovac;Ribnik;475;254;221;44;431;44;161;40;230;-;44;213;176;42;-;362;196;166;30;332
Karlovačka;Karlovac;Saborsko;632;315;317;72;560;72;80;46;434;-;72;351;186;23;-;466;247;219;46;420
Karlovačka;Karlovac;Slunj;5.076;2.535;2.541;696;4.380;696;1.314;421;2.644;1;696;2.125;1.943;312;-;4.224;2.156;2.068;456;3.768
